11853089;Московская обл.;д. Пикино;141580.0;ул. Транспортная;уч.1,с.1
11857366;Мурманская обл.;г. Кировск;184250.0;ул. Ленинградская;д.1
11857367;Вологодская обл.;г. Череповец;162622.0;ул. Северное Шоссе;д.75
11857762;Мурманская обл.;г. Ковдор;184141.0;ул. Сухачева;д. 5
11857833;Московская обл.;с. Балобаново;142400.0;ул. Будённого;д.15/Г
11857834;Московская обл.;г. Голицыно;143040.0;Минское ш.;вл.1
11857847;Ханты-Мансийский а.о;г. Сургут;628415.0;ул. Индустриальная;д. 56
11857848;Иркутская обл.;г. Усть-Кут;666781.0;ул. Кирова;д.136
11857849;Респ. Саха (Якутия);Ленский р-н;678150.0;пос. Витим;nan
11857861;Ханты-Мансийский а.о;г. Сургут;628415.0;ул. Григория Кукуевицкого;д.1,корп.1
11857877;Респ. Башкортостан;г. Уфа;450027.0;Индустриальное ш.;д. 46
11857878;Респ. Башкортостан;г. Стерлитамак;453100.0;ул. Элеваторная;д. 39
11857879;Респ. Башкортостан;г. Уфа;450027.0;Индустриальное шоссе;д. 46
11857972;Томская обл.;г. Томск;634063.0;ул. Мичурина;д. 47
11857986;Алтайский край;г. Барнаул;656064.0;ул. Сельскохозяйственная;д. 4Е
11857987;Новосибирская обл.;г. Новосибирск;630005.0;ул. Державина;д.49
11857988;Новосибирская обл.;г. Новосибирск;630007.0;ул. Серебренниковская;д.2/1
11858005;Смоленская обл.;г. Смоленск;214031.0;ул. Индустриальная;д. 2а
11858037;Краснодарский край;г. Новороссийск;353900.0;ул. Осоавиахима;д.212
11858038;Оренбургская обл.;г. Оренбург;460028.0;ул. Заводская;д.30
11858040;Ростовская обл.;г. Аксай;346720.0;пр-т Ленина;д. 54
11858052;Ставропольский край;г. Ставрополь;355035.0;Старомарьевское ш.;д. 16
11858055;Ростовская обл.;г. Ростов-на-Дону;344002.0;ул. Станиславского;48/24,оф.1
11858066;Краснодарский край;пос. Орел-Изумруд;354340.0;ул. Лазурная Долина;д.56
11858067;Краснодарский край;г. Краснодар;350066.0;х.Октябрьский, ул. Звездная;д. 1/2
11858076;Красноярский край;г. Красноярск;660017.0;ул. Дзержинского;д. 26/2-09
11858162;Московская обл.;г. Люберцы;140011.0;ул. Шоссейная;д.42А
11858176;г. Москва;г. Москва;111123.0;ул. Плеханова;д. 5
11858214;Саратовская обл.;г. Саратов;410062.0;ВСО, пос. Строитель;лит. КМ
11858215;Волгоградская обл.;г. Волгоград;400075.0;пр-д Нефтяников;д. 14, оф. 18
11858375;г. Москва;г. Москва;109316.0;Волгоградский пр-т;д.42/36
11858386;г. Москва;г. Москва;109316.0;Волгоградский пр-кт;д.42
11858510;Томская обл.;г. Томск;634024.0;ул. Причальная;д.8
11858526;Ханты-Мансийский а.о;г. Сургут;628400.0;ул. Аэрофлотская;д.5
11858527;Республика Коми;г. Усинск;169710.0;ул. Заводская;д.6
11858541;Респ. Саха (Якутия);г. Нерюнгри;678960.0;пр-т Ленина;д. 3/1
11858557;Томская обл.;г. Томск;634063.0;ул. Мичурина;д. 47
11858558;Кемеровск.обл-Кузбас;г. Новокузнецк;654063.0;ул. Переездная;д. 1/11
11858559;Кемеровск.обл-Кузбас;г. Кемерово;650021.0;ул. Шатурская;д. 2
11858560;Алтайский край;г. Барнаул;656064.0;ул. Сельскохозяйственная;д. 4Е
11858572;Новосибирская обл.;г. Новосибирск;630099.0;ул. Семьи Шамшиных;д. 4
11858665;г. Москва;г. Москва;109029.0;Михайловский пр.;д.3
11858706;Московская обл.;Солнечногорский р-н;141532.0;49-й км Ленинградского шоссе;д.49/4
11858730;г. Москва;г. Москва;105037.0;Измайловский пр.;д. 8A
11858741;г. Москва;г. Москва;125464.0;1-й Митинский пер.;д. 12
11858742;г. Москва;г. Москва;108811.0;24-й км Киевского ш.;вл.1
11858773;г. Москва;г. Москва;119421.0;Ленинский пр-кт;д. 107
11858814;Тюменская обл.;г. Тюмень;625016.0;ул. Пермякова;д. 76
11858874;г. Москва;г. Москва;117545.0;1-й Дорожный пр.;д.4,с.1
11858968;Нижегородская обл.;г. Нижний Новгород;603034.0;Комсомольское ш.;д. 2А
11858985;Тюменская обл.;г. Тюмень;625016.0;ул. Александра Логунова;д. 16А
11859006;Челябинская обл.;г. Челябинск;454007.0;ул. Малогрузовая;д.1
11859008;Челябинская обл.;г. Челябинск;454007.0;ул. Малогрузовая;д.1
11859030;Респ. Башкортостан;г. Сибай;453838.0;Индустриальное ш.;д. 30
11859211;г. Москва;г. Москва;109651.0;ул. Перерва;д.19
11859212;Московская обл.;г. Котельники;109153.0;Новорязанское ш.;д. 5B
11859213;г. Москва;г. Москва;121087.0;ул. Большая Филевская;д.3
11859214;г. Москва;г. Москва;107497.0;ул. Иркутская, д.5/6;стр.1,эт.2
11859283;г. Санкт-Петербург;г. Санкт-Петербург;197101.0;Петроградская наб.;д. 30
11859284;г. Москва;г. Москва;115404.0;ДОК, Центральный склад з/ч;nan
11859285;г. Москва;г. Москва;105203.0;ул. 15-я Парковая;д.3А
11859296;г. Санкт-Петербург;г. Санкт-Петербург;197101.0;Петроградская наб.;30, ЛИТ. А
11859297;г. Санкт-Петербург;г. Санкт-Петербург;195253.0;пр-кт Маршала Блюхера;д. 69
11859311;г. Москва;г. Москва;117556.0;Варшавское ш.;д. 91А
11859467;Московская обл.;г. Мытищи;141008.0;ул. Мира;д. 8
11859501;Московская обл.;г. Видное;142701.0;ул. Ольховая;д.9,пом.11
11859576;г. Санкт-Петербург;г. Санкт-Петербург;194156.0;пр-т Энгельса;33 ЛИТ. А
11859577;г. Санкт-Петербург;г. Санкт-Петербург;195426.0;ул. Хасанская;5 корп. 2
11859579;Нижегородская обл.;г. Нижний Новгород;603029.0;ул. Памирская;д. 11
11859635;Ленинградская обл.;д. Сертолово;188650.0;ул. Индустриальная;3 корп. 1
11859756;Кировская обл.;г. Киров;610035.0;ул. Щорса;д.105
11859757;Республика Коми;г. Сыктывкар;167000.0;ул. Гаражная;д. 9
11859760;г. Санкт-Петербург;г. Санкт-Петербург;191123.0;ул. Шпалерная, д.42;лит. А
11859845;г. Москва;г. Москва;111524.0;ул. Перовская;д.1
11859856;г. Москва;г. Москва;111524.0;ул. Перовская, д.1, стр.12, этаж 3;пом VII
11859979;г. Москва;г. Москва;115409.0;Каширское шоссе;д.76
11860022;Красноярский край;г. Красноярск;660133.0;ул. Партизана Железняка;д.17
11860023;Красноярский край;г. Красноярск;660133.0;ул. Партизана Железняка;д.17
11860024;Красноярский край;г. Красноярск;660133.0;ул. Партизана Железняка;д.17
11860055;Кемеровск.обл-Кузбас;г. Новокузнецк;654038.0;ул. Промстроевская;44, корп.
11860151;г. Москва;г. Москва;121609.0;Рублевское шоссе;64 корп. 2
11860152;г. Москва;г. Москва;121099.0;пер. Смоленский 2-й.;д.1/4
11860153;Омская обл.;пос.Новоомский;644501.0;ул. Шоссейная;д.1А
11860154;Кировская обл.;г. Киров;610010.0;14кмОбъездной автодороги Киров-Нововятск;д. 1/13
11860155;Тюменская обл.;г. Заводоуковск;627140.0;ул. Революционная;д. 94А
11860161;Челябинская обл.;г. Челябинск;454111.0;ул. Производственная;д.2А
11860162;Республика Коми;г. Сыктывкар;167000.0;Октябрьский пр.;131/ 6
11860163;Курганская обл.;г. Курган;640007.0;ул. Омская;д. 133
11860164;Ростовская обл.;пос. Красный;346720.0;ул. Промышленная;д. 9
11860165;Краснодарский край;ст. Павловская;352043.0;ул. Молодежная;д.1
11860176;Архангельская обл.;г. Архангельск;163011.0;ул. Лермонтова;д.23,с.17
11860177;Республика Мордовия;г. Саранск;430000.0;ул. Пролетарская;д. 142
11860178;г. Москва;г. Москва;127106.0;Нововладыкинский пр-д;д.8,стр.4
11860179;Республика Карелия;г. Петрозаводск;185031.0;Шуйское ш.;д.8Б
11860180;Ставропольский край;г. Ставрополь;355020.0;ул. Объездная;д. 31В
11860186;Оренбургская обл.;г. Оренбург;460048.0;ул. Монтажников;д. 26
11860187;Московская обл.;микрорайон Белые Столбы;142050.0;Белые столбы;nan
11860188;Нижегородская обл.;г. Нижний Новгород;603950.0;ул. Кузбасская;д. 7А
11860189;Саратовская обл.;пос. Дубки;410530.0;0,1 км юго-восточнее посёлка;nan
11860190;Ульяновская обл.;г. Ульяновск;432018.0;ул. Хваткова;д. 26
11860201;Пензенская обл.;г. Пенза;440031.0;ул. 40 лет Октября;д.24 Б
11860202;Липецкая обл.;г. Липецк;398007.0;ул. Ковалева;д.101
11860203;Орловская обл.;д. Становое;302527.0;ул. Школьная;д.6К
11860204;Курская обл.;с.п. Новопоселеновский;305007.0;д. Селиховы дворы;nan
11860205;Белгородская обл.;г. Белгород;308017.0;ул. Энергетиков;д.12А
11860216;Воронежская обл.;северо-восточнее села Добрино;397954.0;569 км трассы М4 Дон;nan
11860217;Тульская обл.;г. Богородицк;301835.0;ул. 30 лет Победы;д.1А
11860218;Московская обл.;Одинцовский р-н;143022.0;д. Захарово;влад-е. 8А
11860219;Рязанская обл.;г. РЫБНОЕ;391110.0;ул. Садовая;д.40В
11860220;Алтайский край;с. Павловск;659001.0;ул. Заводская;д.15/1
11860226;Московская обл.;г. Домодедово;142050.0;мкр. Белые столбы, «склады 104»;стр.2
11860227;г. Санкт-Петербург;г. Санкт-Петербург;196625.0;г. Павловск, п/о Тярлево, Фильтровское шоссе;д. 3
11860228;Вологодская обл.;г. Вологда;160002.0;ул. Ленинградская;д.97
11860229;Воронежская обл.;с. Девица;396942.0;ул. Строителей;уч. №52/39
11860230;Тамбовская обл.;г. Рассказово;393254.0;ул. Пролетарская;д.439
11860241;Приморский край;с. Чугуевка;692623.0;ул. 50 лет Октября;д. 2
11860242;г. Санкт-Петербург;г. Санкт-Петербург;198188.0;ул. Возрождения;д.20А
11860243;Новосибирская обл.;г. Обь;633103.0;Омский тракт;с.2
11860244;Респ. Башкортостан;г. Уфа;450095.0;ул. Якуба Коласа;д. 127
11860378;Вологодская обл.;г. Череповец;162608.0;ул. Мира;д.30
11860393;Республика Татарстан;Елабужский р-н;423638.0;придорожная полоса а/д М-7;nan
11860394;Республика Татарстан;Высокогорский р-н;422705.0;в 2 км южнее д. Макаровка;nan
11860406;Краснодарский край;Краснодарский край;353206.0;в районе ст.Пластуновская, 1303 км федеральной  трассы М4 <<ДОН>>;nan
11860407;Респ. Башкортостан;Иглинский р-н;452419.0;д. Шакша;nan
11860408;Нижегородская обл.;Кстовский р-н, примерно в 1км по на;607684.0;на Юго-Восток от ориентира д. Опалиха;nan
11860409;Самарская обл.;с. Белозерки;446373.0;ул. Сосновая;д.1A
11860410;Респ. Башкортостан;Иглинский р-н;452419.0;д. Шакша;nan
11860421;Республика Татарстан;г. Казань;420012.0;ул. Щапова;д.14/31
11860424;г. Москва;г. Москва;115142.0;ул. Речников;д. 29
11860436;Амурская обл.;г. Белогорск;676863.0;ул. Кирова;д.306
11860439;г. Москва;г. Москва;127599.0;78-й км МКАД;2, корп.4
11860440;Московская обл.;г. Балашиха;143912.0;кв-л Щитниково;вл.3А
11860441;Приморский край;г. Владивосток;690005.0;ул. Новоивановская;д.2А
11860442;Приморский край;г. Владивосток;690003.0;ул. Станюковича д.46;д. 46
11860445;Московская обл.;г. Наро-Фоминск;143360.0;г. Апрелевка, ул. Сентябрьская;д. 12
